Título,Ubicación,Precio,Habitaciones,Baños,Metros Cuadrados,Planta
Casa adosada en Colonia,Colonia (Torrelodones),570.000 €,4 habs.,4 baños,303 m²,Sin información
Piso en Goya,Goya (Distrito Salamanca. Madrid Capital),1.420.000 €,,,,
Piso en Almendrales,Almendrales (Distrito Usera. Madrid Capital),239.900 €,3 habs.,1 baño,77 m²,1ª planta
Piso en calle de los Tintes,El Olivar-La Magdalena (Colmenar Viejo),198.700 €,,,,
Casa unifamiliar en Parquelagos,Parquelagos-Puente Nuevo (Galapagar),1.650.000 €,6 habs.,10 baños,1.238 m²,Sin información
Piso en calle de Padilla,Guindalera (Distrito Salamanca. Madrid Capital),2.239.000 €,,,,
Piso en Chamartin,Castilla (Distrito Chamartín. Madrid Capital),1.080.000 €,4 habs.,2 baños,190 m²,1ª planta
Casa pareada en Casco Urbano,Navas del Rey,220.000 €,,,,Sin información
Piso en Nueva España,Nueva España (Distrito Chamartín. Madrid Capital),1.000.000 €,3 habs.,3 baños,104 m²,9ª planta
Piso en calle de Jesús del Valle,Justicia-Chueca (Distrito Centro. Madrid Capital),899.000 €,,,,
Piso en Carrera San Jerónimo,Cortes-Huertas (Distrito Centro. Madrid Capital),989.000 €,3 habs.,3 baños,112 m²,2ª planta
Piso en Apóstol Santiago,Apóstol Santiago (Distrito Hortaleza. Madrid Capital),259.900 €,,,,
Chalet en Ciudalcampo,Ciudalcampo-Fuente del Fresno (San Sebastián de los Reyes),2.790.000 €,5 habs.,6 baños,710 m²,Sin información
Chalet adosado en Paracuellos de Jarama,Paracuellos de Jarama,585.000 €,,,,Sin información
Chalet pareado en Mirasierra,Castilla (Distrito Chamartín. Madrid Capital),2.900.000 €,6 habs.,7 baños,541 m²,Sin información
Chalet en Nueva España,El Viso (Distrito Chamartín. Madrid Capital),3.500.000 €,,,,Sin información
Piso en calle de Antonio Romero,Abrantes (Distrito Carabanchel. Madrid Capital),340.000 €,3 habs.,2 baños,101 m²,6ª planta
Piso en Centro,Centro (Villaviciosa de Odón),225.000 €,3 habs.,1 baño,70 m²,Sin información
Chalet en Yucatán-Cornisa,El Burgo-El Abajón (Las Rozas de Madrid),1.210.000 €,5 habs.,3 baños,278 m²,Sin información
Piso en Malasaña-Universidad,Universidad-Malasaña (Distrito Centro. Madrid Capital),1.039.000 €,,,,Sin información
Piso en calle Raimundo Fernández Villaverde,Ríos Rosas (Distrito Chamberí. Madrid Capital),1.600.000 €,4 habs.,3 baños,245 m²,6ª planta
Ático en Salamanca,Goya (Distrito Salamanca. Madrid Capital),2.590.000 €,,,,Sin información
Piso en Paseo de la Castellana,Castillejos (Distrito Tetuán. Madrid Capital),1.449.000 €,3 habs.,3 baños,186 m²,1ª planta
"Piso en calle Arte Figurativo Con Avenida Gran Vía del Sureste, S/N",Ensanche de Vallecas-Valdecarros (Distrito Villa de Vallecas. Madrid Capital),559.900 €,,,,Sin información
Casa pareada en Avenida de Cinco Siglos,Navalcarnero,339.000 €,4 habs.,3 baños,221 m²,Sin información
Piso en calle de Maldonado,Castellana (Distrito Salamanca. Madrid Capital),3.500.000 €,,,,
Chalet en Pradolargo,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),5.800.000 €,6 habs.,9 baños,1.233 m²,Sin información
"Piso en calle del Real Betis, 11",Puerta Bonita (Distrito Carabanchel. Madrid Capital),194.000 €,,,,
Ático en Valdemarín,Valdemarín (Distrito Moncloa-Aravaca. Madrid Capital),2.200.000 €,5 habs.,4 baños,399 m²,Sin información
Casa pareada en Cubas de La Sagra,Cubas de La Sagra,377.900 €,4 habs.,3 baños,245 m²,Sin información
Piso en Gaztambide,Gaztambide (Distrito Chamberí. Madrid Capital),530.000 €,4 habs.,2 baños,147 m²,Sin información
Piso en calle de Sancho Dávila,Fuente del Berro (Distrito Salamanca. Madrid Capital),730.000 €,,,,
Casa pareada en Los Jarales,Parquelagos-Puente Nuevo (Galapagar),680.000 €,4 habs.,4 baños,250 m²,Sin información
"Finca rústica en Camino de Villaviciosa de Odón, nº 141",Navalcarnero,199.000 €,,,,Sin información
Piso en calle de Juan Bautista de Toledo,Prosperidad (Distrito Chamartín. Madrid Capital),790.000 €,1 hab.,2 baños,122 m²,1ª planta
Piso en calle de Tetuán,Sol (Distrito Centro. Madrid Capital),1.119.000 €,,,,
Piso en Centro,Centro (Leganés),399.000 €,5 habs.,2 baños,175 m²,1ª planta
Chalet en calle de la Paz,Daganzo de Arriba,445.000 €,,,,Sin información
Chalet en Hoyo de Manzanares,Hoyo de Manzanares,1.150.000 €,5 habs.,7 baños,687 m²,Sin información
"Loft en calle Villaverde, nº 26",Centro (Getafe),295.000 €,,,,Sin información
Piso en calle Castelló,Recoletos (Distrito Salamanca. Madrid Capital),2.400.000 €,3 habs.,3 baños,230 m²,5ª planta
Casa unifamiliar en calle de la Virgen,Casco Antiguo Sur (Ciempozuelos),345.000 €,,,,Sin información
Chalet en Plaza de Navarrete,Nuevo Aranjuez-Ciudad de las Artes-El Mirador (Aranjuez),575.000 €,4 habs.,3 baños,319 m²,Sin información
Piso en calle de los Estudios,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),795.000 €,,,,
Chalet en Santo Domingo,Nueva Estación de Servicio (Algete),1.265.000 €,4 habs.,4 baños,508 m²,Sin información
Piso en Majadahonda / Zona Norte,Zona Norte (Majadahonda),129.000 €,,,,
Piso en calle Hermosilla,Goya (Distrito Salamanca. Madrid Capital),1.420.000 €,2 habs.,3 baños,115 m²,1ª planta
Piso en Salamanca,Castellana (Distrito Salamanca. Madrid Capital),679.000 €,,,,
Piso en Centro,Palacio (Distrito Centro. Madrid Capital),960.000 €,2 habs.,2 baños,72 m²,1ª planta
Piso en calle de El Villar,Griñón,169.000 €,,,,Sin información
Piso en calle de Hortaleza,Justicia-Chueca (Distrito Centro. Madrid Capital),789.000 €,3 habs.,3 baños,100 m²,1ª planta
Chalet en Ciudalcampo,Ciudalcampo-Fuente del Fresno (San Sebastián de los Reyes),1.990.000 €,,,,Sin información
Casa adosada en calle Costa Rica,La Cabrera,300.000 €,3 habs.,2 baños,194 m²,Sin información
Piso en calle Toledo,Palacio (Distrito Centro. Madrid Capital),230.000 €,,,,Sin información
Piso en Reyes,Reyes (Parla),159.500 €,3 habs.,1 baño,96 m²,3ª planta
Piso en Cármenes,Cármenes (Distrito Latina. Madrid Capital),265.000 €,2 habs.,2 baños,60 m²,Sin información
Piso en calle,Casco Histórico de Vallecas (Distrito Villa de Vallecas. Madrid Capital),590.000 €,8 habs.,3 baños,252 m²,Sin información
Piso en Coslada,La Espinilla-Parque Blanco (Coslada),126.000 €,,,,
Piso en calle de Ciudad Real,Delicias (Distrito Arganzuela. Madrid Capital),215.000 €,1 hab.,1 baño,43 m²,Sin información
Chalet en Paseo Monte de la Villa,El Bosque (Villaviciosa de Odón),495.000 €,,,,Sin información
Piso en calle de Alcalá,Goya (Distrito Salamanca. Madrid Capital),1.750.000 €,5 habs.,3 baños,211 m²,3ª planta
Chalet en calle 5,Villar del Olmo,339.000 €,,,,Sin información
