Título,Ubicación,Precio,Habitaciones,Baños,Metros Cuadrados,Planta
Piso en calle de Marina Usera,Zofío (Distrito Usera. Madrid Capital),198.000 €,3 habs.,1 baño,71 m²,1ª planta
Piso en Avenida del Plantío,Casco Antiguo (Coslada),430.000 €,,,,
,,,,,,
,,,,,,Sin información
"Casa unifamiliar en calle de Soto del Henares, 30",Villalbilla,310.000 €,4 habs.,3 baños,180 m²,Sin información
"Chalet en Avenida de la Armada Española, s/n",Parque de Boadilla (Boadilla del Monte),844.775 €,,,,Sin información
,,,,,Sin información,Sin información
Chalet en calle de los Peñotes,Lozoyuela (Lozoyuela-Navas-Sieteiglesias),269.000 €,4 habs.,1 baño,262 m²,Sin información
Chalet en calle Camino de Valladolid,Casco Antiguo (Torrelodones),699.000 €,,,,Sin información
Casa pareada en Cobeña,Cobeña,670.000 €,4 habs.,3 baños,360 m²,Sin información
Piso en calle de Narciso Serra,Pacífico (Distrito Retiro. Madrid Capital),430.000 €,,,,
Piso en Pozuelo de Alarcón,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),725.000 €,4 habs.,3 baños,217 m²,Sin información
Dúplex en Tetuán,Berruguete (Distrito Tetuán. Madrid Capital),235.000 €,,,,
,,,,Sin información,Sin información,Sin información
Piso en calle de Canillas,Prosperidad (Distrito Chamartín. Madrid Capital),559.000 €,3 habs.,1 baño,121 m²,3ª planta
Ático en Vallehermoso,Vallehermoso (Distrito Chamberí. Madrid Capital),1.195.000 €,,,,Sin información
"Casa adosada en calle de Julián Camarillo, 56",Simancas (Distrito San Blas. Madrid Capital),1.374.900 €,4 habs.,3 baños,282 m²,Sin información
Chalet en calle del Fresno,Colmenarejo,525.000 €,,,,Sin información
"Piso en calle Berrocales Ix, 461",Los Berrocales (Distrito Vicálvaro. Madrid Capital),301.500 €,2 habs.,2 baños,77 m²,Sin información
Chalet en Carabanchel / Vista Alegre,Vista Alegre (Distrito Carabanchel. Madrid Capital),375.000 €,,,,Sin información
Chalet en Mataelpino,Mataelpino (El Boalo-Cerceda-Mataelpino),405.000 €,4 habs.,2 baños,299 m²,Sin información
Casa adosada en Paracuellos de Jarama,Paracuellos de Jarama,310.000 €,,,,Sin información
Piso en calle de San Vicente Ferrer,Universidad-Malasaña (Distrito Centro. Madrid Capital),320.000 €,2 habs.,1 baño,62 m²,4ª planta
Piso en calle de Ceuta,Valdeacederas (Distrito Tetuán. Madrid Capital),240.000 €,1 baño,62 m²,3ª planta,Sin información
Piso en calle de Santa Engracia,Almagro (Distrito Chamberí. Madrid Capital),3.100.000 €,3 habs.,4 baños,322 m²,5ª planta
Casa pareada en Daganzo de Arriba,Daganzo de Arriba,369.900 €,4 habs.,3 baños,222 m²,Sin información
Piso en calle de la Princesa,Casco Antiguo (Alcorcón),196.000 €,3 habs.,1 baño,85 m²,3ª planta
"Piso en calle de la Corredera, 3",El Mirador (Colmenar Viejo),418.900 €,,,,Sin información
"Casa adosada en calle de Fernando III, 20",Espartales (Distrito Ensanche-Espartales. Alcalá de Henares),422.400 €,3 habs.,3 baños,161 m²,Sin información
Piso en Comillas,Comillas (Distrito Carabanchel. Madrid Capital),243.530 €,2 habs.,1 baño,75 m²,1ª planta
Piso en calle de Navarra,Sol (Distrito Centro. Madrid Capital),1.290.000 €,4 habs.,5 baños,180 m²,1ª planta
"Ático en calle de la Higuera, s/n",El Cantizal (Las Rozas de Madrid),796.102 €,,,,Sin información
Casa adosada en Valdeolmos,Valdeolmos (Valdeolmos-Alalpardo),275.000 €,3 habs.,2 baños,202 m²,Sin información
"Piso en calle de la Plata, s/n",Zona Sureste (Torrejón de Ardoz),309.900 €,,,,
Piso en Pilar,Pilar (Distrito Fuencarral-El Pardo. Madrid Capital),725.000 €,5 habs.,3 baños,151 m²,3ª planta
"Piso en calle de Andrés Borrego, 15",Universidad-Malasaña (Distrito Centro. Madrid Capital),295.000 €,,,,
"Piso en calle del Oro, s/n",Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),589.000 €,3 habs.,2 baños,113 m²,Bajo
Piso en Naranjo-La Serna,Naranjo-La Serna (Fuenlabrada),189.500 €,,,,Sin información
Dúplex en calle de Santa Engracia,Almagro (Distrito Chamberí. Madrid Capital),2.500.000 €,3 habs.,3 baños,238 m²,5ª planta
Piso en calle de la Carabela,Alameda de Osuna (Distrito Barajas. Madrid Capital),629.000 €,,,,
,,,Sin información,Sin información,Sin información,Sin información
Estudio en calle de Ginzo de Limia,Pilar (Distrito Fuencarral-El Pardo. Madrid Capital),219.900 €,1 baño,47 m²,Sin información,Sin información
Chalet en Estación,Los Molinos,375.000 €,,,,Sin información
Piso en calle de Entrepeñas,Ensanche de Vallecas-Valdecarros (Distrito Villa de Vallecas. Madrid Capital),275.300 €,1 hab.,1 baño,92 m²,Bajo
"Ático en Arroyomolinos, Zona de - Zona Europa",Zona Europa (Arroyomolinos),364.900 €,,,,Sin información
Piso en calle de la Academia,Jerónimos (Distrito Retiro. Madrid Capital),990.000 €,2 habs.,3 baños,86 m²,6ª planta
Piso en calle del Castillo de Arévalo,Simancas (Distrito San Blas. Madrid Capital),165.000 €,,,,
Piso en calle de la Virgen de la Oliva,Simancas (Distrito San Blas. Madrid Capital),239.000 €,3 habs.,2 baños,118 m²,6ª planta
"Piso en Madrid, Zona de - Carabanchel, Distrito - Buenavista",Buenavista (Distrito Carabanchel. Madrid Capital),165.000 €,,,,Sin información
Piso en Numancia,Numancia (Distrito Puente de Vallecas. Madrid Capital),180.000 €,4 habs.,1 baño,81 m²,4ª planta
Piso en Las Águilas,Las Águilas (Distrito Latina. Madrid Capital),185.000 €,3 habs.,75 m²,1ª planta,Sin información
"Loft en Avenida Camino de Lo Cortao, nº 13",Ciudalcampo-Fuente del Fresno (San Sebastián de los Reyes),189.750 €,2 habs.,1 baño,65 m²,Sin información
Piso en calle de Alcalá,Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital),345.000 €,,,,
Piso en Ciudad Universitaria,Bellas Vistas (Distrito Tetuán. Madrid Capital),770.000 €,4 habs.,2 baños,190 m²,Sin información
"Dúplex en calle de Eloísa de la Hera, 15",Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital),1.600.000 €,,,,
Piso en calle de Jacinto Benavente,Centro (Leganés),290.000 €,3 habs.,2 baños,105 m²,Principal
Piso en calle de la Salvia,El Cantizal (Las Rozas de Madrid),552.000 €,,,,
"Casa adosada en calle de Julián Camarillo, 56",Simancas (Distrito San Blas. Madrid Capital),1.219.900 €,4 habs.,3 baños,231 m²,Sin información
Piso en Casco Antiguo,Casco Antiguo (San Sebastián de los Reyes),240.000 €,,,,
Piso en Entrevías,Entrevías (Distrito Puente de Vallecas. Madrid Capital),132.000 €,3 habs.,1 baño,70 m²,2ª planta
Chalet en calle C -Veintitres - Monte Acevedo,Nuevo Baztán,427.000 €,,,,Sin información
Piso en calle del Duque de Sesto,Goya (Distrito Salamanca. Madrid Capital),1.290.000 €,2 habs.,3 baños,133 m²,1ª planta
Piso en Zona Sureste,Zona Sureste (Torrejón de Ardoz),210.000 €,,,,
Piso en calle de Cuenca,Las Dehesillas-Vereda de los Estudiantes (Leganés),353.000 €,4 habs.,2 baños,155 m²,3ª planta
Piso en calle de la Malacuera,Torrelaguna,180.000 €,,,,
Piso en calle de Martín de los Heros,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),400.000 €,4 habs.,1 baño,75 m²,Sin información
Piso en Hispanoamérica,Hispanoamérica (Distrito Chamartín. Madrid Capital),875.000 €,,,,Sin información
Piso en Centro,Centro (Arganda del Rey),330.000 €,3 habs.,183 m²,Sin información,Sin información
Piso en calle de la Virgen del Coro,Concepción (Distrito Ciudad Lineal. Madrid Capital),300.000 €,2 habs.,1 baño,72 m²,Sin información
Piso en Palos de Moguer,Palos de Moguer (Distrito Arganzuela. Madrid Capital),338.000 €,4 habs.,1 baño,90 m²,Sin información
Piso en Rosa Luxemburgo-Padrerón-Polígono Industrial Norte,Rosa Luxemburgo-Padrerón-Polígono Industrial Norte (San Sebastián de los Reyes),460.000 €,3 habs.,2 baños,120 m²,2ª planta
Piso en Conde Orgaz,Prosperidad (Distrito Chamartín. Madrid Capital),1.490.000 €,4 habs.,3 baños,216 m²,Sin información
Chalet en Zona Sureste,Zona Sureste (Torrejón de Ardoz),595.000 €,,,,Sin información
Piso en Casco Antiguo,Casco Antiguo (Majadahonda),225.000 €,2 habs.,1 baño,70 m²,Sin información
Piso en Casco Antiguo,Casco Antiguo (Alcorcón),295.000 €,4 habs.,2 baños,141 m²,3ª planta
Casa adosada en calle Arroyo Alto,Mataelpino (El Boalo-Cerceda-Mataelpino),485.000 €,4 habs.,4 baños,198 m²,Sin información
Dúplex en Zona Noroeste,Zona Noroeste (Torrejón de Ardoz),392.000 €,2 habs.,2 baños,209 m²,Sin información
Chalet en Rivas-Urbanizaciones,Rivas-Urbanizaciones (Rivas-Vaciamadrid),845.000 €,3 habs.,4 baños,430 m²,Sin información
Piso en Pueblo Nuevo,Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital),149.000 €,1 baño,50 m²,Sin información,Sin información
"Chalet en calle de las Encinas, 20",Alpedrete,625.000 €,3 habs.,4 baños,389 m²,Sin información
Piso en Guindalera,Guindalera (Distrito Salamanca. Madrid Capital),792.000 €,3 habs.,182 m²,5ª planta,Sin información
Piso en Navalcarnero,Navalcarnero,184.900 €,1 baño,63 m²,Sin información,Sin información
"Piso en calle de Sotomayor, 6",Vallehermoso (Distrito Chamberí. Madrid Capital),490.000 €,,,,
"Casa adosada en calle de Julián Camarillo, 56",Simancas (Distrito San Blas. Madrid Capital),1.229.900 €,4 habs.,3 baños,239 m²,Sin información
Piso en Centro-Arroyo-La Fuente,Centro-Arroyo-La Fuente (Fuenlabrada),127.000 €,,,,Sin información
Piso en Fuente El Saz de Jarama,Fuente el Saz de Jarama,168.000 €,2 habs.,2 baños,111 m²,2ª planta
"Chalet en calle del Mar Cantábrico, s/n",Paracuellos de Jarama,809.900 €,,,,Sin información
"Piso en calle de la Plata, s/n",Zona Sureste (Torrejón de Ardoz),397.900 €,3 habs.,2 baños,106 m²,6ª planta
Casa en calle de Toledo,Pedrezuela,379.000 €,,,,Sin información
Piso en calle de San Juan,Alpedrete,171.000 €,2 habs.,1 baño,90 m²,Bajo
"Ático en calle de Getafe, 12",Centro-Arroyo-La Fuente (Fuenlabrada),300.000 €,,,,Sin información
"Piso en calle de Pedro Colmenar, 3",Casco Antiguo (San Sebastián de los Reyes),290.000 €,2 habs.,2 baños,85 m²,2ª planta
"Chalet en Avenida de Miraflores de la Sierra, 2",Miraflores de La Sierra,585.000 €,,,,Sin información
"Chalet en calle Lisboa, S/N",El Bosque (Villaviciosa de Odón),663.195 €,4 habs.,3 baños,295 m²,Sin información
"Piso en calle de Ana Teresa, 1",Aravaca (Distrito Moncloa-Aravaca. Madrid Capital),1.930.000 €,,,Sin información,Sin información
"Piso en calle Buenavista Sector I-6, S/N",Navalcarnero,231.800 €,3 habs.,2 baños,151 m²,Sin información
"Piso en calle de Rufino González, 59",Simancas (Distrito San Blas. Madrid Capital),271.000 €,,,,
"Piso en calle Berrocales Ix, 461",Los Berrocales (Distrito Vicálvaro. Madrid Capital),371.900 €,3 habs.,2 baños,99 m²,Sin información
"Dúplex en calle del Oro, s/n",Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),775.000 €,,,,
"Casa adosada en calle Torreta, s/n",El Molar,327.571 €,3 habs.,3 baños,113 m²,Sin información
"Casa adosada en calle Torreta, s/n",El Molar,326.184 €,,,,Sin información
"Chalet en calle Sector Aldovea, S/N",Zona Suroeste (Torrejón de Ardoz),489.000 €,3 habs.,3 baños,317 m²,Sin información
"Casa adosada en calle Torreta, s/n",El Molar,336.465 €,,,,Sin información
"Piso en calle de Núñez de Guzmán, 7","Puerta de Madrid, El Juncal (Distrito Reyes Católicos. Alcalá de Henares)",170.000 €,3 habs.,1 baño,64 m²,Sin información
Dúplex en Avenida del Guadarrama,Zona Norte (Majadahonda),639.999 €,,,,
Piso en calle de Constancia,Prosperidad (Distrito Chamartín. Madrid Capital),410.000 €,2 habs.,2 baños,70 m²,Bajo
Casa adosada en Daganzo de Arriba,Daganzo de Arriba,258.900 €,3 habs.,2 baños,90 m²,Sin información
Piso en Plaza de Tirso de Molina,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),360.000 €,1 hab.,1 baño,47 m²,1ª planta
Piso en calle de Félix Boix,Nueva España (Distrito Chamartín. Madrid Capital),649.000 €,,,,Sin información
Dúplex en calle de Baltasar Porreño,Centro-Parque de La Manguilla (El Escorial),255.000 €,3 habs.,2 baños,106 m²,Sin información
Piso en Ríos Rosas,Ríos Rosas (Distrito Chamberí. Madrid Capital),1.100.000 €,,,,
Piso en calle de Fernán González,Ibiza (Distrito Retiro. Madrid Capital),1.365.000 €,3 habs.,4 baños,147 m²,3ª planta
Piso en Navacerrada,Navacerrada,230.000 €,,,,Sin información
"Piso en calle de la Paz, 5",Sol (Distrito Centro. Madrid Capital),749.000 €,2 habs.,2 baños,93 m²,1ª planta
Piso en Paseo de la Castellana,Castillejos (Distrito Tetuán. Madrid Capital),1.090.000 €,,,,
Piso en calle de Vicenta Pachón,San Isidro (Distrito Carabanchel. Madrid Capital),199.000 €,1 hab.,2 baños,84 m²,Bajo
Chalet adosado en Sector S,Sector S (Boadilla del Monte),609.900 €,,,,Sin información
Piso en calle de Huelva,Zona Bulevar (Arroyomolinos),325.000 €,3 habs.,2 baños,110 m²,1ª planta
Piso en calle de San Blas,Casco Antiguo (Majadahonda),460.000 €,,,,Sin información
"Chalet en calle Mayor Baja, 2",Ribatejada,190.000 €,3 habs.,1 baño,122 m²,Sin información
Piso en Valdezarza,Valdezarza (Distrito Moncloa-Aravaca. Madrid Capital),420.000 €,,,,Sin información
Piso en Peñagrande,El Pardo (Distrito Fuencarral-El Pardo. Madrid Capital),367.700 €,1 hab.,1 baño,66 m²,Sin información
Casa unifamiliar en calle del Caz,Moralzarzal,430.000 €,,,,Sin información
Ático en calle del Abedul,Nueva España (Distrito Chamartín. Madrid Capital),2.600.000 €,4 habs.,3 baños,486 m²,Sin información
Casa pareada en calle de los Robles,Cubas de La Sagra,329.900 €,,,,Sin información
Piso en calle del Príncipe de Vergara,Castellana (Distrito Salamanca. Madrid Capital),2.469.000 €,4 habs.,5 baños,271 m²,1ª planta
Ático en Puerta del Ángel,Puerta del Ángel (Distrito Latina. Madrid Capital),399.000 €,,,,Sin información
Chalet en La Finca,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),16.000.000 €,9 habs.,13 baños,1.584 m²,Sin información
Piso en Carretera del Plantío,Zona Carretera del Plantío (Majadahonda),750.000 €,,,,
Piso en Ciudad Universitaria,Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital),635.000 €,2 habs.,2 baños,102 m²,6ª planta
Piso en calle de Alcántara,Lista (Distrito Salamanca. Madrid Capital),389.000 €,,,,
Ático en calle de la Secoya,Pau de Carabanchel (Distrito Carabanchel. Madrid Capital),409.900 €,2 habs.,1 baño,139 m²,Sin información
Piso en calle de Juan Álvarez Mendizábal,Argüelles (Distrito Moncloa-Aravaca. Madrid Capital),850.000 €,,,,
Piso en calle de Francisco de Rojas,Trafalgar (Distrito Chamberí. Madrid Capital),2.400.000 €,3 habs.,3 baños,227 m²,3ª planta
Piso en calle del Príncipe de Vergara,Goya (Distrito Salamanca. Madrid Capital),829.000 €,,,,
Piso en Avenida Viñuelas,Zona Parque Sur (Tres Cantos),424.900 €,4 habs.,3 baños,105 m²,1ª planta
Chalet adosado en Aravaca,El Pardo (Distrito Fuencarral-El Pardo. Madrid Capital),1.290.000 €,,,,Sin información
Piso en Nueva España,El Viso (Distrito Chamartín. Madrid Capital),2.290.000 €,4 habs.,4 baños,258 m²,Sin información
"Casa en calle Cruz del Sur, 1",Los Satélites-Roza Martín (Majadahonda),1.495.000 €,,,,Sin información
Piso en calle de José Calvo,Berruguete (Distrito Tetuán. Madrid Capital),170.000 €,2 habs.,1 baño,35 m²,1ª planta
Piso en calle del General Díaz Porlier,Goya (Distrito Salamanca. Madrid Capital),1.380.000 €,,,,
Casa en calle del Puente del Grajal,Fuente Santa (Colmenar Viejo),649.900 €,5 habs.,4 baños,381 m²,Sin información
"Piso en calle de la Virgen de Lluc, 49",Quintana (Distrito Ciudad Lineal. Madrid Capital),322.700 €,,,,
