Título,Ubicación,Precio,Habitaciones,Baños,Metros Cuadrados,Planta
Piso en calle de Castalia,Canillejas (Distrito San Blas. Madrid Capital),269.000 €,3 habs.,1 baño,81 m²,1ª planta
,,,,,,
Piso en calle del General Díaz Porlier,Goya (Distrito Salamanca. Madrid Capital),1.150.000 €,2 habs.,3 baños,100 m²,1ª planta
Piso en calle del Balandro,Alameda de Osuna (Distrito Barajas. Madrid Capital),445.000 €,3 habs.,2 baños,105 m²,2ª planta
"Ático en calle de Eloísa de la Hera, 15",Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital),1.672.000 €,4 habs.,2 baños,244 m²,
Piso en San Andrés,San Andrés (Distrito Villaverde. Madrid Capital),249.900 €,5 habs.,2 baños,107 m²,2ª planta
Chalet en Hortaleza - Conde Orgaz - Piovera,Piovera (Distrito Hortaleza. Madrid Capital),5.500.000 €,7 habs.,9 baños,1.150 m²,
Piso en San Pascual,San Pascual (Distrito Ciudad Lineal. Madrid Capital),298.000 €,3 habs.,2 baños,99 m²,7ª planta
Piso en calle de Pirra,Rejas (Distrito San Blas. Madrid Capital),235.000 €,1 hab.,1 baño,58 m²,5ª planta
Piso en San Andrés,San Andrés (Distrito Villaverde. Madrid Capital),136.000 €,1 hab.,1 baño,51 m²,2ª planta
"Piso en calle de Manuela Malasaña, 9",Universidad-Malasaña (Distrito Centro. Madrid Capital),895.000 €,3 habs.,2 baños,133 m²,5ª planta
