Título,Ubicación,Precio,Habitaciones,Baños,Metros Cuadrados,Planta
Piso en calle de Marina Usera,Zofío (Distrito Usera. Madrid Capital),198.000 €,3 habs.,1 baño,71 m²,1ª planta
Piso en Avenida del Plantío,Casco Antiguo (Coslada),430.000 €,,,,
,,,,,,
,,,,,,Sin información
"Casa unifamiliar en calle de Soto del Henares, 30",Villalbilla,310.000 €,4 habs.,3 baños,180 m²,Sin información
"Chalet en Avenida de la Armada Española, s/n",Parque de Boadilla (Boadilla del Monte),844.775 €,,,,Sin información
,,,,,Sin información,Sin información
Chalet en calle Camino de Valladolid,Casco Antiguo (Torrelodones),699.000 €,4 habs.,3 baños,161 m²,Sin información
Chalet en Urbanización de las Colinas,Moraleja de Enmedio,435.000 €,,,,Sin información
Piso en calle de Narciso Serra,Pacífico (Distrito Retiro. Madrid Capital),430.000 €,3 habs.,1 baño,70 m²,4ª planta
Casa adosada en calle de Hontanilla,La Cabrera,239.000 €,,,,Sin información
Dúplex en Tetuán,Berruguete (Distrito Tetuán. Madrid Capital),235.000 €,1 hab.,2 baños,52 m²,3ª planta
Piso en calle de Fernando VI,Guadarrama,169.900 €,,,,Sin información
,,,,Sin información,Sin información,Sin información
Ático en Vallehermoso,Vallehermoso (Distrito Chamberí. Madrid Capital),1.195.000 €,4 habs.,2 baños,191 m²,Sin información
Piso en calle de María de Molina,El Viso (Distrito Chamartín. Madrid Capital),3.250.000 €,,,,
Chalet en calle del Fresno,Colmenarejo,525.000 €,7 habs.,5 baños,309 m²,Sin información
Casa pareada en Cuevas-Ilustración,Cuevas-Ilustración (Ciempozuelos),265.000 €,4 habs.,4 baños,195 m²,Sin información
"Piso en calle Berrocales Ix, 461",Los Berrocales (Distrito Vicálvaro. Madrid Capital),301.500 €,2 habs.,2 baños,77 m²,Sin información
Chalet en Carabanchel / Vista Alegre,Vista Alegre (Distrito Carabanchel. Madrid Capital),375.000 €,,,,Sin información
Casa adosada en Paracuellos de Jarama,Paracuellos de Jarama,310.000 €,3 habs.,3 baños,160 m²,Sin información
Casa unifamiliar en calle Segunda,Paracuellos de Jarama,556.000 €,,,,Sin información
Piso en calle de Ceuta,Valdeacederas (Distrito Tetuán. Madrid Capital),240.000 €,1 baño,62 m²,3ª planta,Sin información
"Chalet en calle del Arra, 13",Urbanización Ciudad Residencial La Berzosa (Hoyo de Manzanares),785.000 €,,,,Sin información
Casa pareada en Daganzo de Arriba,Daganzo de Arriba,369.900 €,4 habs.,3 baños,222 m²,Sin información
"Chalet en calle Diamante y C/ San Juan Bautista, S/N",Zona Avenida de Europa (Pozuelo de Alarcón),1.629.900 €,,,,Sin información
"Piso en calle de la Corredera, 3",El Mirador (Colmenar Viejo),418.900 €,2 habs.,2 baños,149 m²,Sin información
Piso en calle de Alberto Bosch,Jerónimos (Distrito Retiro. Madrid Capital),2.500.000 €,,,,
Piso en Comillas,Comillas (Distrito Carabanchel. Madrid Capital),243.530 €,2 habs.,1 baño,75 m²,1ª planta
Piso en Titulcia,Titulcia,136.000 €,3 habs.,2 baños,140 m²,Sin información
"Ático en calle de la Higuera, s/n",El Cantizal (Las Rozas de Madrid),796.102 €,3 habs.,2 baños,126 m²,Sin información
"Piso en calle de la Virgen de Loreto, 18","Colonia, Avenida de Meco (Distrito El Val. Alcalá de Henares)",374.900 €,,,,Sin información
Casa adosada en Valdeolmos,Valdeolmos (Valdeolmos-Alalpardo),275.000 €,3 habs.,2 baños,202 m²,Sin información
"Piso en calle de la Plata, s/n",Zona Sureste (Torrejón de Ardoz),309.900 €,,,,
Piso en Pilar,Pilar (Distrito Fuencarral-El Pardo. Madrid Capital),725.000 €,5 habs.,3 baños,151 m²,3ª planta
"Piso en calle de Andrés Borrego, 15",Universidad-Malasaña (Distrito Centro. Madrid Capital),295.000 €,,,,
"Piso en calle del Oro, s/n",Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),589.000 €,3 habs.,2 baños,113 m²,Bajo
Piso en Naranjo-La Serna,Naranjo-La Serna (Fuenlabrada),189.500 €,,,,Sin información
Piso en calle de la Carabela,Alameda de Osuna (Distrito Barajas. Madrid Capital),629.000 €,4 habs.,2 baños,156 m²,2ª planta
Casa pareada en Centro,Centro (Villaviciosa de Odón),625.000 €,3 habs.,3 baños,225 m²,Sin información
,,,Sin información,Sin información,Sin información,Sin información
Chalet en Estación,Los Molinos,375.000 €,4 habs.,2 baños,114 m²,Sin información
Piso en Juan de la Cierva,Juan de la Cierva (Getafe),179.900 €,,,,
"Ático en Arroyomolinos, Zona de - Zona Europa",Zona Europa (Arroyomolinos),364.900 €,4 habs.,3 baños,118 m²,Sin información
Ático en Fuente del Berro,Fuente del Berro (Distrito Salamanca. Madrid Capital),650.000 €,2 habs.,2 baños,80 m²,Sin información
Piso en calle del Castillo de Arévalo,Simancas (Distrito San Blas. Madrid Capital),165.000 €,2 habs.,1 baño,57 m²,1ª planta
Piso en calle de Santa Teresa,Nuevo Aranjuez-Ciudad de las Artes-El Mirador (Aranjuez),189.900 €,,,,
"Piso en Madrid, Zona de - Carabanchel, Distrito - Buenavista",Buenavista (Distrito Carabanchel. Madrid Capital),165.000 €,3 habs.,1 baño,70 m²,Sin información
Casa adosada en Getafe,Los Molinos-Los Olivos (Getafe),690.000 €,,,,Sin información
Piso en Las Águilas,Las Águilas (Distrito Latina. Madrid Capital),185.000 €,3 habs.,75 m²,1ª planta,Sin información
"Piso en calle del Oro, s/n",Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),505.000 €,,,,
"Piso en Arroyomolinos, Zona de - Zona Europa",Zona Europa (Arroyomolinos),309.900 €,4 habs.,2 baños,111 m²,Sin información
"Chalet en calle de Santiago García el Tranquilo, 6",San Crispín-La Estación (Colmenar Viejo),513.000 €,,,Sin información,Sin información
"Dúplex en calle de Eloísa de la Hera, 15",Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital),1.600.000 €,4 habs.,5 baños,244 m²,2ª planta
Piso en calle del Molino de Viento,Universidad-Malasaña (Distrito Centro. Madrid Capital),283.000 €,,,,Sin información
Piso en calle de la Salvia,El Cantizal (Las Rozas de Madrid),552.000 €,3 habs.,2 baños,130 m²,Bajo
Casa pareada en Avenida de los Antiguos Baños de la Isabela,Villalbilla,507.950 €,,,,Sin información
"Casa adosada en calle de Julián Camarillo, 56",Simancas (Distrito San Blas. Madrid Capital),1.219.900 €,4 habs.,3 baños,231 m²,Sin información
Piso en Casco Antiguo,Casco Antiguo (San Sebastián de los Reyes),240.000 €,,,,
Piso en Entrevías,Entrevías (Distrito Puente de Vallecas. Madrid Capital),132.000 €,3 habs.,1 baño,70 m²,2ª planta
Chalet en calle C -Veintitres - Monte Acevedo,Nuevo Baztán,427.000 €,,,,Sin información
Piso en calle del Duque de Sesto,Goya (Distrito Salamanca. Madrid Capital),1.290.000 €,2 habs.,3 baños,133 m²,1ª planta
Piso en Zona Sureste,Zona Sureste (Torrejón de Ardoz),210.000 €,,,,
Piso en calle de Cuenca,Las Dehesillas-Vereda de los Estudiantes (Leganés),353.000 €,4 habs.,2 baños,155 m²,3ª planta
Piso en calle de la Malacuera,Torrelaguna,180.000 €,,,,
Piso en Hispanoamérica,Hispanoamérica (Distrito Chamartín. Madrid Capital),875.000 €,3 habs.,2 baños,166 m²,Sin información
Piso en El Carrascal,El Carrascal (Leganés),284.900 €,3 habs.,2 baños,115 m²,7ª planta
Piso en calle de la Virgen del Coro,Concepción (Distrito Ciudad Lineal. Madrid Capital),300.000 €,2 habs.,1 baño,72 m²,Sin información
Piso en Casco Antiguo,Casco Antiguo (San Sebastián de los Reyes),175.000 €,3 habs.,2 baños,79 m²,5ª planta
Piso en Rosa Luxemburgo-Padrerón-Polígono Industrial Norte,Rosa Luxemburgo-Padrerón-Polígono Industrial Norte (San Sebastián de los Reyes),460.000 €,3 habs.,2 baños,120 m²,2ª planta
Piso en Centro,Centro (Las Rozas de Madrid),350.000 €,2 habs.,1 baño,69 m²,2ª planta
Chalet en Zona Sureste,Zona Sureste (Torrejón de Ardoz),595.000 €,4 habs.,4 baños,294 m²,Sin información
Dúplex en Costillares,Nueva España (Distrito Chamartín. Madrid Capital),970.000 €,,,,Sin información
Piso en Casco Antiguo,Casco Antiguo (Majadahonda),225.000 €,2 habs.,1 baño,70 m²,Sin información
Piso en Casco Antiguo,Casco Antiguo (Alcorcón),295.000 €,4 habs.,2 baños,141 m²,3ª planta
Casa adosada en calle Arroyo Alto,Mataelpino (El Boalo-Cerceda-Mataelpino),485.000 €,4 habs.,4 baños,198 m²,Sin información
Dúplex en Zona Noroeste,Zona Noroeste (Torrejón de Ardoz),392.000 €,2 habs.,2 baños,209 m²,Sin información
Chalet en Rivas-Urbanizaciones,Rivas-Urbanizaciones (Rivas-Vaciamadrid),845.000 €,3 habs.,4 baños,430 m²,Sin información
Piso en Pueblo Nuevo,Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital),149.000 €,1 baño,50 m²,Sin información,Sin información
Piso en Santa Eugenia,Santa Eugenia (Distrito Villa de Vallecas. Madrid Capital),370.000 €,3 habs.,2 baños,140 m²,Sin información
"Chalet en calle de las Encinas, 20",Alpedrete,625.000 €,,,,Sin información
Piso en Navalcarnero,Navalcarnero,184.900 €,1 baño,63 m²,Sin información,Sin información
"Piso en calle de Sotomayor, 6",Vallehermoso (Distrito Chamberí. Madrid Capital),490.000 €,,,,
"Casa adosada en calle de Julián Camarillo, 56",Simancas (Distrito San Blas. Madrid Capital),1.229.900 €,4 habs.,3 baños,239 m²,Sin información
Piso en Centro-Arroyo-La Fuente,Centro-Arroyo-La Fuente (Fuenlabrada),127.000 €,,,,Sin información
"Chalet en calle del Mar Cantábrico, s/n",Paracuellos de Jarama,809.900 €,5 habs.,3 baños,300 m²,Sin información
"Chalet en calle Senda Perdida, s/n","Colonia, Avenida de Meco (Distrito El Val. Alcalá de Henares)",739.900 €,,,,Sin información
