Título,Ubicación,Precio,Habitaciones,Baños,Metros Cuadrados,Planta
Piso en calle de Castalia,Canillejas (Distrito San Blas. Madrid Capital),269.000 €,3 habs.,1 baño,81 m²,1ª planta
,,,,,,
,,,,,,Sin información
,,,,,Sin información,Sin información
Piso en calle del General Díaz Porlier,Goya (Distrito Salamanca. Madrid Capital),1.150.000 €,2 habs.,3 baños,100 m²,1ª planta
,,,,,,13ª planta
Piso en calle de Azcona,Guindalera (Distrito Salamanca. Madrid Capital),490.000 €,3 habs.,1 baño,69 m²,6ª planta
Piso en calle de Narciso Serra,Pacífico (Distrito Retiro. Madrid Capital),430.000 €,3 habs.,1 baño,70 m²,4ª planta
Piso en Argüelles,Gaztambide (Distrito Chamberí. Madrid Capital),771.000 €,4 habs.,3 baños,121 m²,3ª planta
Piso en calle de Cristóbal Bordiú,Ríos Rosas (Distrito Chamberí. Madrid Capital),230.000 €,2 habs.,1 baño,35 m²,Sin información
"Piso en calle del Concejo de Teverga, 27",Entrevías (Distrito Puente de Vallecas. Madrid Capital),235.000 €,3 habs.,2 baños,100 m²,3ª planta
Piso en Vallehermoso,Vallehermoso (Distrito Chamberí. Madrid Capital),1.075.000 €,4 habs.,3 baños,180 m²,1ª planta
Casa adosada en calle del Aire,Timón (Distrito Barajas. Madrid Capital),775.000 €,3 habs.,3 baños,235 m²,Sin información
Piso en calle de Atocha,Cortes-Huertas (Distrito Centro. Madrid Capital),650.000 €,2 habs.,2 baños,106 m²,2ª planta
Chalet en Hispanoamérica,El Viso (Distrito Chamartín. Madrid Capital),2.500.000 €,7 habs.,5 baños,235 m²,Sin información
Chalet en Chamartín - Nueva España,Nueva España (Distrito Chamartín. Madrid Capital),4.700.000 €,6 habs.,7 baños,886 m²,Sin información
Piso en Plaza de Valparaíso,Castilla (Distrito Chamartín. Madrid Capital),965.000 €,3 habs.,3 baños,145 m²,4ª planta
Piso en Madrid,Numancia (Distrito Puente de Vallecas. Madrid Capital),144.990 €,2 habs.,1 baño,60 m²,Bajo
"Dúplex en calle de Eloísa de la Hera, 15",Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital),1.826.000 €,6 habs.,2 baños,271 m²,Sin información
Apartamento en Castilla,Justicia-Chueca (Distrito Centro. Madrid Capital),299.000 €,1 hab.,1 baño,43 m²,Sin información
Piso en calle de la Farmacia,Justicia-Chueca (Distrito Centro. Madrid Capital),875.000 €,2 habs.,3 baños,133 m²,2ª planta
Piso en calle de Villanueva,Recoletos (Distrito Salamanca. Madrid Capital),3.950.000 €,4 habs.,4 baños,228 m²,4ª planta
Dúplex en Tetuán,Berruguete (Distrito Tetuán. Madrid Capital),235.000 €,1 hab.,2 baños,52 m²,3ª planta
