Título,Ubicación,Precio,Habitaciones,Baños,Metros Cuadrados,Planta
Piso en calle de Barceló,Justicia-Chueca (Distrito Centro. Madrid Capital),1.519.000 €,4 habs.,4 baños,211 m²,Bajo
Piso en Ibiza,Ibiza (Distrito Retiro. Madrid Capital),1.240.000 €,3 habs.,2 baños,120 m²,Sin información
Piso en calle de Pedro Fernández Labrada,Puerta del Ángel (Distrito Latina. Madrid Capital),280.000 €,2 habs.,1 baño,60 m²,3ª planta
Chalet en Moncloa - Valdemarín,Valdemarín (Distrito Moncloa-Aravaca. Madrid Capital),5.900.000 €,7 habs.,6 baños,1.050 m²,Sin información
"Piso en calle de Villaescusa, 62",Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital),379.500 €,2 habs.,2 baños,92 m²,1ª planta
Piso en calle de Velázquez,Castellana (Distrito Salamanca. Madrid Capital),6.500.000 €,4 habs.,4 baños,462 m²,3ª planta
Piso en calle de Yécora,Rejas (Distrito San Blas. Madrid Capital),535.000 €,3 habs.,2 baños,118 m²,3ª planta
Piso en calle del Balandro,Alameda de Osuna (Distrito Barajas. Madrid Capital),445.000 €,3 habs.,2 baños,105 m²,2ª planta
Piso en calle de Velázquez,Castellana (Distrito Salamanca. Madrid Capital),6.500.000 €,4 habs.,5 baños,462 m²,3ª planta
Apartamento en calle de Cervantes,Cortes-Huertas (Distrito Centro. Madrid Capital),305.000 €,1 hab.,1 baño,43 m²,3ª planta
Piso en calle de Luis Cabrera,Prosperidad (Distrito Chamartín. Madrid Capital),279.000 €,42 m²,Sin información,Sin información,Sin información
Piso en calle de Canillas,Prosperidad (Distrito Chamartín. Madrid Capital),559.000 €,3 habs.,1 baño,121 m²,3ª planta
Ático en Vallehermoso,Vallehermoso (Distrito Chamberí. Madrid Capital),1.195.000 €,4 habs.,2 baños,191 m²,Sin información
Piso en calle de María de Molina,El Viso (Distrito Chamartín. Madrid Capital),3.250.000 €,5 habs.,4 baños,340 m²,11ª planta
Piso en Avenida del Monte Igueldo,San Diego (Distrito Puente de Vallecas. Madrid Capital),169.900 €,1 hab.,1 baño,53 m²,1ª planta
"Piso en calle de Durazno, 9",Buenavista (Distrito Carabanchel. Madrid Capital),317.400 €,2 habs.,2 baños,74 m²,Sin información
Piso en Peñagrande,El Pardo (Distrito Fuencarral-El Pardo. Madrid Capital),279.700 €,1 baño,46 m²,Sin información,Sin información
"Dúplex en Plaza Mayor de Villaverde, 8",San Andrés (Distrito Villaverde. Madrid Capital),256.000 €,2 habs.,2 baños,103 m²,1ª planta
Piso en calle de Nuestra Señora de Araceli,Casco Histórico de Barajas (Distrito Barajas. Madrid Capital),210.000 €,2 habs.,1 baño,57 m²,2ª planta
Piso en Avenida de Cantabria,Alameda de Osuna (Distrito Barajas. Madrid Capital),338.000 €,3 habs.,2 baños,88 m²,Bajo
Piso en calle de Penélope,Casco Histórico de Barajas (Distrito Barajas. Madrid Capital),285.000 €,3 habs.,1 baño,83 m²,Bajo
Piso en Goya,Goya (Distrito Salamanca. Madrid Capital),390.000 €,3 habs.,2 baños,119 m²,Sin información
Piso en calle de la Palma,Universidad-Malasaña (Distrito Centro. Madrid Capital),400.000 €,2 habs.,92 m²,Sin información,Sin información
Piso en calle del General Pardiñas,Lista (Distrito Salamanca. Madrid Capital),2.490.000 €,4 habs.,4 baños,258 m²,1ª planta
"Piso en Avenida Levantge, S/N",Los Berrocales (Distrito Vicálvaro. Madrid Capital),382.500 €,3 habs.,2 baños,106 m²,1ª planta
Piso en Jerónimos,Jerónimos (Distrito Retiro. Madrid Capital),990.000 €,2 habs.,2 baños,86 m²,Sin información
Chalet en Moncloa - Aravaca - La Florida - El Plantío,El Plantío (Distrito Moncloa-Aravaca. Madrid Capital),3.100.000 €,5 habs.,6 baños,1.525 m²,Sin información
"Casa adosada en calle de Julián Camarillo, 56",Simancas (Distrito San Blas. Madrid Capital),1.374.900 €,4 habs.,3 baños,282 m²,Sin información
Chalet en calle de Siguero,Fuentelarreina (Distrito Fuencarral-El Pardo. Madrid Capital),3.000.000 €,6 habs.,8 baños,880 m²,Sin información
Piso en Recoletos,Recoletos (Distrito Salamanca. Madrid Capital),5.850.000 €,4 habs.,3 baños,323 m²,Sin información
"Ático en calle Arte Figurativo Con Avenida Gran Vía del Sureste, S/N",Ensanche de Vallecas-Valdecarros (Distrito Villa de Vallecas. Madrid Capital),569.900 €,3 habs.,2 baños,115 m²,Sin información
Piso en calle del Cardenal Vicente Enrique y Tarancón,Ensanche de Vallecas-Valdecarros (Distrito Villa de Vallecas. Madrid Capital),344.000 €,3 habs.,2 baños,151 m²,1ª planta
Piso en calle de Alfonso XII,Jerónimos (Distrito Retiro. Madrid Capital),1.500.000 €,8 habs.,5 baños,281 m²,1ª planta
Piso en Justicia-Chueca,Justicia-Chueca (Distrito Centro. Madrid Capital),1.850.000 €,3 habs.,3 baños,148 m²,1ª planta
Casa pareada en Fuencarral - El Pardo - Peñagrande,Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),1.495.000 €,5 habs.,4 baños,427 m²,Sin información
Piso en Barrio de Salamanca - Lista,Lista (Distrito Salamanca. Madrid Capital),1.175.000 €,3 habs.,2 baños,115 m²,8ª planta
Ático en calle del Cardenal Cisneros,Trafalgar (Distrito Chamberí. Madrid Capital),390.000 €,2 habs.,1 baño,62 m²,Sin información
"Ático en calle de Eloísa de la Hera, 15",Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital),1.672.000 €,4 habs.,2 baños,244 m²,Sin información
Ático en Centro,Universidad-Malasaña (Distrito Centro. Madrid Capital),658.000 €,1 hab.,2 baños,77 m²,Sin información
"Dúplex en calle de Jordi Sole tura, s/n",Valdebebas-Valdefuentes (Distrito Hortaleza. Madrid Capital),1.023.450 €,4 habs.,2 baños,229 m²,8ª planta
"Piso en calle Berrocales Ix, 461",Los Berrocales (Distrito Vicálvaro. Madrid Capital),301.500 €,2 habs.,2 baños,77 m²,Sin información
Chalet en Carabanchel / Vista Alegre,Vista Alegre (Distrito Carabanchel. Madrid Capital),375.000 €,5 habs.,2 baños,164 m²,Sin información
Piso en calle de Fray José de Cerdeiriña,Las Águilas (Distrito Latina. Madrid Capital),195.000 €,2 habs.,1 baño,83 m²,5ª planta
Piso en Sanchinarro,Sanchinarro (Distrito Hortaleza. Madrid Capital),635.000 €,4 habs.,3 baños,169 m²,Sin información
"Piso en calle de Javier Ferrero, s/n",Ciudad Jardín (Distrito Chamartín. Madrid Capital),1.170.250 €,2 habs.,2 baños,152 m²,Sin información
Apartamento en calle de Campezo,Rejas (Distrito San Blas. Madrid Capital),181.000 €,1 hab.,1 baño,49 m²,4ª planta
Piso en Castellana,Castellana (Distrito Salamanca. Madrid Capital),1.359.000 €,2 habs.,2 baños,149 m²,Sin información
Ático en Paseo de la Habana,Nueva España (Distrito Chamartín. Madrid Capital),5.800.000 €,4 habs.,5 baños,518 m²,Sin información
Piso en Avenida de Concha Espina,Hispanoamérica (Distrito Chamartín. Madrid Capital),950.000 €,3 habs.,2 baños,141 m²,1ª planta
Piso en calle de Barceló,Justicia-Chueca (Distrito Centro. Madrid Capital),1.519.000 €,4 habs.,4 baños,211 m²,1ª planta
Piso en calle de Sedano,Campamento (Distrito Latina. Madrid Capital),160.000 €,3 habs.,1 baño,63 m²,4ª planta
Piso en calle de la Infanta María Teresa,Hispanoamérica (Distrito Chamartín. Madrid Capital),710.000 €,4 habs.,2 baños,129 m²,Sin información
"Piso en calle de Tetuán, 20",Sol (Distrito Centro. Madrid Capital),1.119.000 €,3 habs.,3 baños,136 m²,2ª planta
"Ático en calle de la Infanta Mercedes, 91",Castillejos (Distrito Tetuán. Madrid Capital),990.000 €,2 habs.,2 baños,76 m²,Sin información
Piso en calle de Cuart de Poblet,Lucero (Distrito Latina. Madrid Capital),195.000 €,3 habs.,1 baño,63 m²,3ª planta
Chalet en Moncloa - Aravaca - Ciudad Universitaria,Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital),11.500.000 €,9 habs.,12 baños,3.250 m²,Sin información
"Dúplex en calle de Eloísa de la Hera, 15",Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital),1.804.000 €,6 habs.,2 baños,182 m²,Sin información
Piso en Salamanca,Goya (Distrito Salamanca. Madrid Capital),1.880.000 €,5 habs.,3 baños,247 m²,6ª planta
Chalet en Fuencarral - El Pardo - Fuentelarreina,Fuentelarreina (Distrito Fuencarral-El Pardo. Madrid Capital),2.990.000 €,6 habs.,5 baños,755 m²,Sin información
Piso en Valdezarza,Valdezarza (Distrito Moncloa-Aravaca. Madrid Capital),194.000 €,2 habs.,2 baños,116 m²,5ª planta
Piso en Peñagrande,Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),390.000 €,3 habs.,1 baño,97 m²,Sin información
Piso en Ciudad Lineal,Atalaya (Distrito Ciudad Lineal. Madrid Capital),1.325.000 €,4 habs.,3 baños,251 m²,Sin información
Piso en calle del Duque de Tamames,San Juan Bautista (Distrito Ciudad Lineal. Madrid Capital),1.450.000 €,5 habs.,3 baños,215 m²,Sin información
Piso en calle calle de Carlota O’Neill,San Pascual (Distrito Ciudad Lineal. Madrid Capital),1.150.000 €,5 habs.,3 baños,180 m²,Sin información
Dúplex en calle de Eloísa de la Hera,Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital),1.600.000 €,4 habs.,5 baños,244 m²,Sin información
Piso en Avenida de la Gran Vía del Sureste,Ensanche de Vallecas-Valdecarros (Distrito Villa de Vallecas. Madrid Capital),395.000 €,4 habs.,2 baños,131 m²,3ª planta
Piso en calle de Embajadores,Delicias (Distrito Arganzuela. Madrid Capital),580.000 €,2 habs.,2 baños,114 m²,Sin información
Piso en San Andrés,San Andrés (Distrito Villaverde. Madrid Capital),249.900 €,5 habs.,2 baños,107 m²,2ª planta
Piso en calle de San Vicente Ferrer,Universidad-Malasaña (Distrito Centro. Madrid Capital),320.000 €,2 habs.,1 baño,62 m²,4ª planta
Piso en calle de Ceuta,Valdeacederas (Distrito Tetuán. Madrid Capital),240.000 €,1 baño,62 m²,3ª planta,Sin información
Piso en calle de Vélez Rubio,Apóstol Santiago (Distrito Hortaleza. Madrid Capital),195.000 €,2 habs.,1 baño,50 m²,Sin información
Piso en calle de Goya,Goya (Distrito Salamanca. Madrid Capital),1.395.000 €,3 habs.,3 baños,145 m²,6ª planta
Piso en calle de los Pilares,Casco Histórico de Barajas (Distrito Barajas. Madrid Capital),270.000 €,3 habs.,1 baño,92 m²,Sin información
Chalet en calle de Mayo,Rejas (Distrito San Blas. Madrid Capital),999.900 €,5 habs.,3 baños,436 m²,Sin información
Piso en Goya,Goya (Distrito Salamanca. Madrid Capital),1.500.000 €,3 habs.,3 baños,120 m²,2ª planta
Piso en calle de San Bernardo,Universidad-Malasaña (Distrito Centro. Madrid Capital),1.230.000 €,4 habs.,2 baños,230 m²,Sin información
Piso en Barrio del Retiro.,Ibiza (Distrito Retiro. Madrid Capital),370.000 €,2 habs.,1 baño,51 m²,1ª planta
"Piso en calle Arroyo Bueno, 1",San Andrés (Distrito Villaverde. Madrid Capital),242.300 €,2 habs.,2 baños,77 m²,1ª planta
Piso en Avenida de Concha Espina,El Viso (Distrito Chamartín. Madrid Capital),1.820.000 €,6 habs.,6 baños,314 m²,2ª planta
Casa adosada en Chamartin,Hispanoamérica (Distrito Chamartín. Madrid Capital),1.985.000 €,6 habs.,6 baños,359 m²,Sin información
"Piso en calle de Bravo Murillo, 297",Valdeacederas (Distrito Tetuán. Madrid Capital),375.000 €,3 habs.,1 baño,80 m²,1ª planta
"Piso en calle de Martínez Oviol, 70",Los Rosales (Distrito Villaverde. Madrid Capital),145.000 €,2 habs.,1 baño,90 m²,Bajo
"Dúplex en calle de Eloísa de la Hera, 15",Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital),1.730.000 €,5 habs.,5 baños,271 m²,Bajo
Piso en calle de Santa Engracia,Almagro (Distrito Chamberí. Madrid Capital),3.100.000 €,3 habs.,4 baños,322 m²,5ª planta
Piso en calle de la Expropiación,Orcasitas (Distrito Usera. Madrid Capital),279.000 €,2 habs.,2 baños,112 m²,4ª planta
Piso en calle de Carretas,Sol (Distrito Centro. Madrid Capital),980.000 €,3 habs.,3 baños,135 m²,1ª planta
Piso en calle de la Montera,Sol (Distrito Centro. Madrid Capital),1.100.000 €,1 hab.,2 baños,138 m²,1ª planta
Piso en Guindalera,Guindalera (Distrito Salamanca. Madrid Capital),1.290.000 €,4 habs.,3 baños,210 m²,Sin información
Piso en Travesía del Almendro,Palacio (Distrito Centro. Madrid Capital),309.000 €,1 hab.,1 baño,42 m²,1ª planta
Piso en calle del Monte Montjuich,Casco Histórico de Vallecas (Distrito Villa de Vallecas. Madrid Capital),215.000 €,2 habs.,1 baño,51 m²,1ª planta
"Estudio en calle de las Minas, 14",Universidad-Malasaña (Distrito Centro. Madrid Capital),243.000 €,1 hab.,1 baño,35 m²,Sin información
Piso en Las Águilas,Las Águilas (Distrito Latina. Madrid Capital),250.000 €,3 habs.,2 baños,85 m²,Sin información
Piso en Lista,Goya (Distrito Salamanca. Madrid Capital),1.740.000 €,4 habs.,4 baños,244 m²,Sin información
Piso en calle del Doctor Castelo,Ibiza (Distrito Retiro. Madrid Capital),839.000 €,4 habs.,2 baños,101 m²,2ª planta
"Casa adosada en calle de Julián Camarillo, 56",Simancas (Distrito San Blas. Madrid Capital),998.900 €,4 habs.,3 baños,239 m²,Sin información
Piso en calle de la Virgen de la Oliva,Simancas (Distrito San Blas. Madrid Capital),239.000 €,3 habs.,2 baños,103 m²,6ª planta
Piso en calle de Alberto Bosch,Jerónimos (Distrito Retiro. Madrid Capital),2.500.000 €,3 habs.,3 baños,227 m²,1ª planta
Chalet en Hortaleza - Conde Orgaz - Piovera,Piovera (Distrito Hortaleza. Madrid Capital),5.500.000 €,7 habs.,9 baños,1.150 m²,Sin información
Piso en calle de Constancia,Prosperidad (Distrito Chamartín. Madrid Capital),345.000 €,1 hab.,1 baño,61 m²,Bajo
Piso en Carrera San Jerónimo,Sol (Distrito Centro. Madrid Capital),789.000 €,2 habs.,2 baños,101 m²,4ª planta
Piso en calle de Tomás García,San Diego (Distrito Puente de Vallecas. Madrid Capital),120.000 €,2 habs.,1 baño,30 m²,Sin información
Piso en calle de la Drácena,Nueva España (Distrito Chamartín. Madrid Capital),695.000 €,4 habs.,2 baños,135 m²,Sin información
Piso en Muy Cerca de Goya,Goya (Distrito Salamanca. Madrid Capital),795.000 €,3 habs.,2 baños,122 m²,1ª planta
Piso en calle de Sierra Elvira,Numancia (Distrito Puente de Vallecas. Madrid Capital),138.990 €,1 hab.,1 baño,42 m²,2ª planta
Piso en Cuatro Caminos,Cuatro Caminos (Distrito Tetuán. Madrid Capital),380.000 €,4 habs.,2 baños,88 m²,Sin información
"Loft en calle de San Romualdo, 26",Simancas (Distrito San Blas. Madrid Capital),178.000 €,1 hab.,1 baño,83 m²,Sin información
Piso en Avenida de la Reina Victoria,Vallehermoso (Distrito Chamberí. Madrid Capital),630.000 €,3 habs.,2 baños,115 m²,Sin información
Piso en Vista Alegre,Vista Alegre (Distrito Carabanchel. Madrid Capital),240.000 €,3 habs.,1 baño,77 m²,5ª planta
Piso en calle de Velázquez,Recoletos (Distrito Salamanca. Madrid Capital),4.150.000 €,4 habs.,3 baños,259 m²,1ª planta
Piso en calle de Sta. Tecla,Canillejas (Distrito San Blas. Madrid Capital),280.000 €,3 habs.,1 baño,82 m²,2ª planta
Casa unifamiliar en San Andrés,San Andrés (Distrito Villaverde. Madrid Capital),390.000 €,4 habs.,2 baños,144 m²,Sin información
Piso en Trafalgar,Trafalgar (Distrito Chamberí. Madrid Capital),1.980.000 €,5 habs.,3 baños,274 m²,Sin información
Piso en Comillas,Comillas (Distrito Carabanchel. Madrid Capital),243.530 €,2 habs.,1 baño,75 m²,1ª planta
"Piso en calle Joaquín Lorenzo, s/n",Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),710.000 €,3 habs.,2 baños,129 m²,7ª planta
Piso en Madrid,San Isidro (Distrito Carabanchel. Madrid Capital),245.000 €,2 habs.,1 baño,65 m²,1ª planta
"Apartamento en calle de San Hermenegildo, 13",Universidad-Malasaña (Distrito Centro. Madrid Capital),260.000 €,1 hab.,1 baño,45 m²,Bajo
Piso en San Isidro,San Isidro (Distrito Carabanchel. Madrid Capital),260.000 €,3 habs.,1 baño,88 m²,2ª planta
"Piso en calle Joaquín Lorenzo, s/n",Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),850.000 €,4 habs.,3 baños,151 m²,1ª planta
Piso en A Menos de Una Manzana del Retiro,Ibiza (Distrito Retiro. Madrid Capital),295.000 €,46 m²,Sin información,Sin información,Sin información
Estudio en calle del Puerto de Arlabán,San Diego (Distrito Puente de Vallecas. Madrid Capital),81.990 €,20 m²,Sin información,Sin información,Sin información
Piso en Timón,Timón (Distrito Barajas. Madrid Capital),345.000 €,2 habs.,2 baños,103 m²,Sin información
Piso en calle de Francisco del Pino,Los Rosales (Distrito Villaverde. Madrid Capital),78.990 €,1 hab.,1 baño,23 m²,Bajo
Piso en Centro,Universidad-Malasaña (Distrito Centro. Madrid Capital),499.000 €,2 habs.,1 baño,88 m²,2ª planta
Piso en Goya,Goya (Distrito Salamanca. Madrid Capital),1.700.000 €,4 habs.,3 baños,220 m²,3ª planta
Piso en calle *,Los Berrocales (Distrito Vicálvaro. Madrid Capital),347.000 €,3 habs.,2 baños,111 m²,1ª planta
Piso en calle de Navarra,Sol (Distrito Centro. Madrid Capital),1.290.000 €,4 habs.,5 baños,180 m²,1ª planta
Piso en calle de José Abascal,Ríos Rosas (Distrito Chamberí. Madrid Capital),1.450.000 €,3 habs.,2 baños,162 m²,Sin información
Piso en San Pascual,San Pascual (Distrito Ciudad Lineal. Madrid Capital),298.000 €,3 habs.,2 baños,99 m²,7ª planta
Piso en calle de Tablada,Berruguete (Distrito Tetuán. Madrid Capital),299.000 €,4 habs.,1 baño,76 m²,2ª planta
"Chalet en calle Horche, 3",Aravaca (Distrito Moncloa-Aravaca. Madrid Capital),3.300.000 €,5 habs.,7 baños,704 m²,Sin información
"Piso en calle de la Infanta Mercedes, 91",Castillejos (Distrito Tetuán. Madrid Capital),485.000 €,2 habs.,2 baños,59 m²,Bajo
Casa pareada en calle de la Isla de Yeso,El Pardo (Distrito Fuencarral-El Pardo. Madrid Capital),675.000 €,9 habs.,3 baños,293 m²,Sin información
Ático en San Isidro,San Isidro (Distrito Carabanchel. Madrid Capital),380.000 €,3 habs.,2 baños,165 m²,Sin información
Piso en calle del General Díaz Porlier,Lista (Distrito Salamanca. Madrid Capital),675.000 €,2 habs.,2 baños,61 m²,Bajo
Piso en Opañel,Opañel (Distrito Carabanchel. Madrid Capital),424.000 €,3 habs.,2 baños,98 m²,Sin información
Piso en Castilla,Castilla (Distrito Chamartín. Madrid Capital),740.000 €,4 habs.,2 baños,123 m²,7ª planta
"Piso en calle Vereda de La Cebolla Con calle Ferenc Puskas, S/N",El Cañaveral (Distrito Vicálvaro. Madrid Capital),436.900 €,3 habs.,2 baños,107 m²,Sin información
Piso en Ambroz,Ambroz (Distrito Vicálvaro. Madrid Capital),170.000 €,2 habs.,1 baño,58 m²,1ª planta
Piso en Embajadores-Lavapiés,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),160.000 €,1 hab.,1 baño,37 m²,Bajo
"Chalet pareado en Avenida de Fermina Sevillano, 19",Rejas (Distrito San Blas. Madrid Capital),575.000 €,4 habs.,4 baños,281 m²,Sin información
Dúplex en calle de Luis Ruiz,Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital),430.000 €,5 habs.,2 baños,177 m²,5ª planta
Estudio en calle de Camarillas,Casco Histórico de Barajas (Distrito Barajas. Madrid Capital),220.000 €,1 baño,35 m²,Sin información,Sin información
Piso en calle de la Fuente de Lima,Las Águilas (Distrito Latina. Madrid Capital),469.990 €,4 habs.,2 baños,156 m²,4ª planta
Piso en calle de Alcalá,Canillejas (Distrito San Blas. Madrid Capital),163.000 €,2 habs.,1 baño,47 m²,Bajo
Piso en Hispanoamérica,Hispanoamérica (Distrito Chamartín. Madrid Capital),2.100.000 €,6 habs.,4 baños,280 m²,2ª planta
Piso en Canillas,Canillas (Distrito Hortaleza. Madrid Capital),335.000 €,3 habs.,1 baño,99 m²,Sin información
Piso en Pilar,Pilar (Distrito Fuencarral-El Pardo. Madrid Capital),725.000 €,5 habs.,3 baños,151 m²,3ª planta
"Piso en calle de Andrés Borrego, 15",Universidad-Malasaña (Distrito Centro. Madrid Capital),295.000 €,1 hab.,1 baño,49 m²,2ª planta
Piso en Comillas,Comillas (Distrito Carabanchel. Madrid Capital),439.000 €,3 habs.,2 baños,109 m²,1ª planta
Dúplex en Prosperidad,Prosperidad (Distrito Chamartín. Madrid Capital),4.160.000 €,4 habs.,6 baños,442 m²,Sin información
Piso en calle de Ramón Gómez de la Serna,Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),419.900 €,3 habs.,1 baño,94 m²,2ª planta
Piso en Almagro,Almagro (Distrito Chamberí. Madrid Capital),1.680.000 €,3 habs.,4 baños,186 m²,3ª planta
Piso en calle de Julio Palacios,La Paz (Distrito Fuencarral-El Pardo. Madrid Capital),775.000 €,4 habs.,2 baños,174 m²,2ª planta
"Ático en calle Arte Figurativo Con Avenida Gran Vía del Sureste, S/N",Ensanche de Vallecas-Valdecarros (Distrito Villa de Vallecas. Madrid Capital),599.900 €,3 habs.,2 baños,120 m²,Sin información
Ático en calle de Alcalá,Goya (Distrito Salamanca. Madrid Capital),1.250.000 €,2 habs.,2 baños,143 m²,Sin información
Piso en Opañel,Opañel (Distrito Carabanchel. Madrid Capital),315.000 €,4 habs.,2 baños,127 m²,1ª planta
Piso en Orcasitas,Orcasitas (Distrito Usera. Madrid Capital),285.000 €,5 habs.,145 m²,3ª planta,Sin información
Piso en calle de Pirra,Rejas (Distrito San Blas. Madrid Capital),235.000 €,1 hab.,1 baño,58 m²,5ª planta
Piso en calle de Alcalá,Salvador (Distrito San Blas. Madrid Capital),299.900 €,1 hab.,1 baño,50 m²,Sin información
Piso en Fuente del Berro,Fuente del Berro (Distrito Salamanca. Madrid Capital),760.000 €,3 habs.,2 baños,103 m²,1ª planta
"Piso en calle de Embajadores, 228",Legazpi (Distrito Arganzuela. Madrid Capital),850.141 €,4 habs.,2 baños,169 m²,1ª planta
Piso en calle de Amara,Concepción (Distrito Ciudad Lineal. Madrid Capital),1.795.000 €,6 habs.,6 baños,489 m²,4ª planta
Piso en Paseo de la Castellana,Justicia-Chueca (Distrito Centro. Madrid Capital),871.000 €,8 habs.,2 baños,225 m²,2ª planta
Piso en Cortes-Huertas,Cortes-Huertas (Distrito Centro. Madrid Capital),520.000 €,2 habs.,1 baño,79 m²,4ª planta
Ático en calle de Babilonia,Corralejos (Distrito Barajas. Madrid Capital),649.000 €,2 habs.,2 baños,83 m²,Sin información
"Casa adosada en calle Alcalde Pedro Gutierrez, s/n",El Cañaveral (Distrito Vicálvaro. Madrid Capital),479.067 €,4 habs.,3 baños,149 m²,Sin información
Piso en calle del Alcalde Sáinz de Baranda,Niño Jesús (Distrito Retiro. Madrid Capital),619.000 €,3 habs.,1 baño,91 m²,5ª planta
Piso en calle de Fuentespina,Santa Eugenia (Distrito Villa de Vallecas. Madrid Capital),259.000 €,2 habs.,2 baños,84 m²,Sin información
Piso en calle de Mira el Sol,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),365.000 €,2 habs.,1 baño,97 m²,Bajo
Piso en calle de la Duquesa de Tamames,Buenavista (Distrito Carabanchel. Madrid Capital),195.000 €,2 habs.,1 baño,70 m²,2ª planta
Piso en calle de Bristol,Guindalera (Distrito Salamanca. Madrid Capital),890.000 €,4 habs.,2 baños,219 m²,Sin información
Piso en calle de Andrés Borrego,Universidad-Malasaña (Distrito Centro. Madrid Capital),435.000 €,3 habs.,1 baño,80 m²,Bajo
"Piso en calle Vereda de La Cebolla Con calle Ferenc Puskas, S/N",El Cañaveral (Distrito Vicálvaro. Madrid Capital),401.900 €,3 habs.,2 baños,100 m²,Sin información
Dúplex en calle de Santa Engracia,Almagro (Distrito Chamberí. Madrid Capital),2.500.000 €,3 habs.,3 baños,238 m²,5ª planta
Piso en calle de la Carabela,Alameda de Osuna (Distrito Barajas. Madrid Capital),629.000 €,4 habs.,2 baños,156 m²,2ª planta
Piso en calle de Alcalá,Canillejas (Distrito San Blas. Madrid Capital),163.000 €,2 habs.,1 baño,57 m²,Entresuelo
Piso en Recoletos,Justicia-Chueca (Distrito Centro. Madrid Capital),4.500.000 €,4 habs.,4 baños,415 m²,Sin información
Piso en calle del Duratón,Lucero (Distrito Latina. Madrid Capital),210.000 €,3 habs.,1 baño,65 m²,Sin información
Piso en Cármenes,Cármenes (Distrito Latina. Madrid Capital),390.000 €,102 m²,Sin información,Sin información,Sin información
