Enlace,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Características
https://www.pisos.com/comprar/casa_unifamiliar-casa_de_campo28008-48337018422_100200/,719.000,103,Anuncio actualizado el 09/10/2024,N/A,N/A,"[('Superficie construida:', '103 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Tipo de casa:', 'Unifamiliar'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'TC52-596758')]"
https://www.pisos.com/comprar/chalet-las_matas_los_penascales28290-40913208402_108500/,585.600,293,Anuncio actualizado el 21/10/2024,N/A,N/A,"[('Superficie construida:', '293 m²'), ('Superficie útil:', '280 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'AG105-MG250')]"
https://www.pisos.com/comprar/casa_adosada-colmenar_viejo_centro-37543161856_994534/,618.625,258,Anuncio actualizado el 09/05/2024,N/A,N/A,"[('Superficie construida:', '258 m²'), ('Superficie útil:', '258 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Tipo de casa:', 'Adosada'), ('Conservación:', 'A estrenar'), ('Referencia:', '994534-CHALET 17 - THE VALLEY II')]"
https://www.pisos.com/comprar/chalet-daganzo_de_arriba_centro_urbano-48354565660_100500/,359.500,126,Anuncio actualizado el 24/10/2024,Consumo:262 kWh/m² año,Emisiones:54 Kg CO₂/m² año,"[('Superficie construida:', '126 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA114-0881')]"
https://www.pisos.com/comprar/chalet-cubas_de_la_sagra_centro_urbano-40849804962_101800/,349.000,335,Anuncio actualizado el 09/09/2024,Consumo:70 kWh/m² año,Emisiones:30 Kg CO₂/m² año,"[('Superficie construida:', '335 m²'), ('Superficie solar:', '345 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Antigüedad:', 'Menos de 5 años'), ('Referencia:', 'IF76953-fuentes claras')]"
https://www.pisos.com/comprar/duplex-la_pizarra28200-42588674926_102100/,279.700,78,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '78 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Referencia:', 'GM14-195534')]"
https://www.pisos.com/comprar/casa_adosada-fuente_el_saz_de_jarama_centro_urbano-29188861072_100500/,319.000,199,Anuncio actualizado el 17/11/2022,N/A,N/A,"[('Superficie construida:', '199 m²'), ('Superficie útil:', '180 m²'), ('Superficie solar:', '701 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Tipo de casa:', 'Adosada'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA4283-96316723')]"
https://www.pisos.com/comprar/duplex-guadarrama_centro_urbano-45928445200_101800/,233.000,130,Anuncio actualizado el 01/10/2024,N/A,N/A,"[('Superficie construida:', '130 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '1ª'), ('Referencia:', 'IF76801-pradodelaiglesia')]"
https://www.pisos.com/comprar/piso-chamartin_prosperidad28002-41723341171_101800/,850.000,186,Anuncio actualizado el 18/10/2024,Consumo:1 kWh/m² año,Emisiones:1 Kg CO₂/m² año,"[('Superficie construida:', '186 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '6ª'), ('Referencia:', 'IF76850-M30528V')]"
https://www.pisos.com/comprar/piso-chamberi_arapiles28015-48382648118_101800/,990.000,164,Anuncio actualizado el 22/10/2024,Consumo:1 kWh/m² año,Emisiones:1 Kg CO₂/m² año,"[('Superficie construida:', '164 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '5ª'), ('Referencia:', 'IF76602-M20711V')]"
https://www.pisos.com/comprar/chalet_adosado-sector_s-40902446898_525764/,609.900,281,Anuncio actualizado el 01/10/2024,Consumo:300 kWh/m² año,Emisiones:300 Kg CO₂/m² año,"[('Superficie construida:', '281 m²'), ('Superficie útil:', '281 m²'), ('Superficie solar:', '200 m²'), ('Habitaciones:', '5'), ('Baños:', '3'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4525764-000023')]"
